
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      654    0.001    0.000    0.224    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2515(_maybe_coerce_values)
      626    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2748(extend_blocks)
      622    0.001    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
      619    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:912(is_datetime64_any_dtype)
      606    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/compat/strings.py:12(safe_string)
      593    0.001    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1341(is_bool_dtype)
      583    0.001    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:359(issubdtype)
      583    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1187(needs_i8_conversion)
      582    0.001    0.000    0.009    0.000 {built-in method builtins.any}
      572    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/extension.py:58(fget)
      550    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/typing.py:1433(new_type)
      550    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:563(_reset_identity)
      542    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:114(_simple_new)
      542    0.002    0.000    0.271    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:276(make_block)
      542    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:319(_slice)
